Clack,조현우,COMBAT,Hiphop,https://www.instagram.com/xxickety_xxack/
Racoon,박재형,MB crew,B-boy,https://www.instagram.com/mbcrew_racoon
Boomball,황인경,MB crew,B-boy,https://www.instagram.com/boomball_mbcr/
Shortyforce,한상호,,B-boy,https://www.instagram.com/shortyforce/
Rai,라이,,Popping,https://www.instagram.com/_rai.archive/
2touch,오태진,,"B-boy, Hiphop",https://www.instagram.com/2touchshaolinthebluesman/
Seagull,박상민,MB crew,B-boy,https://www.instagram.com/boy_sangmin
Chur,추서현,CAY CREW,B-girl,https://www.instagram.com/cay_chur
T,김정환,,B-boy,https://www.instagram.com/imbboyt/tagged/
Queentaa,퀸타,,Waacking,https://www.instagram.com/queentaaon1y/
EUN YOUNG,백은영,,House,https://www.instagram.com/eun0_1303/
Daill,장수현,CAY CREW,B-boy,https://www.instagram.com/cay_daill
Vercy,김채림,Fusionmc,B-girl,https://www.instagram.com/vercy_cham/
Mr.split,김태우,Cosmic D-flo,Locking,https://www.instagram.com/mr.split25/
Kiki,박창윤,Comingout,Waacking,https://www.instagram.com/kiki.coming/
Hidden,공수진,"Spicy’S, Inpose.Evil",Waacking,https://www.instagram.com/sujin_hidden/
SERO,세로,Oriental heroez,Popping,https://www.instagram.com/sero_ohz/
JEONGJUN,서정준,LOCK N LOL,Locking,https://www.instagram.com/je0ng_jun_/
Slain,여인수,"Artistreet, The Goonies crew",B-boy,https://www.instagram.com/slainz_/
Liz,김민지,,Waacking,https://www.instagram.com/liz_inmyprime/
짹벼리,짹벼리,,Locking,https://www.instagram.com/jack14_ellie19/
Ash,안성화,variety balance,Popping,https://www.instagram.com/a5h.vb/
Spark,김채은,Team blackout,Krump,https://www.instagram.com/chaeeun_spark_kim/
Hajun,이하준,Fusionmc,B-boy,https://www.instagram.com/bboy_hajun
BEGITA,베지타,Platon crew,B-boy,https://www.instagram.com/bboybegita/
Trix,김태현,Primekingz,Krump,https://www.instagram.com/primekingz_trix/
FUNKU,김형우,,Locking,https://www.instagram.com/funku_funku_funku
Neorocski,이석봉,Gorilla crew,B-boy,https://www.instagram.com/neorocski/
Bravo,김병훈,Platon crew,B-boy,https://www.instagram.com/platon_bravo/
DDochi Lock,최근령,RIZZ,Locking,https://www.instagram.com/ddochi_lock/
Seong hee,최성희,,Hiphop,https://www.instagram.com/se0ng_hee_/
MINI,채민희,WOLFLO,Hiphop,https://www.instagram.com/dancer_mini/
Predy,천병준,CAY CREW,B-boy,https://www.instagram.com/predy1995
장예령,장예령,T.I.B CREW,Hiphop,https://www.instagram.com/yeyrung/
Shinobi,신태종,Rivers crew,B-boy,https://www.instagram.com/shinobirvs/
Bumble.b,정창현,,B-boy,https://www.instagram.com/bumble.b_/
김경남,김경남,,Waacking,https://www.instagram.com/south_8.17/
Rotia,김호정,,Waacking,https://www.instagram.com/rotiaaa_/
Somuch,Somuch,,Waacking,https://www.instagram.com/i.luv.u_somuch/?g=5
KIDO,남상아,,Krump,https://www.instagram.com/kido_girl_.golem/
Leap,김응혁,Gamblerz crew,B-boy,https://www.instagram.com/gamblerz_leap
방지민,방지민,,Hiphop,https://www.instagram.com/merongjimin/
이예은,이예은,,Hiphop,https://www.instagram.com/yeeunyeah/
Yeonju,이연주,,Waacking,https://www.instagram.com/yexxju_/
SEMI,SEMI,,Hiphop,https://www.instagram.com/m.b.a_semi/
Yuntak,한윤탁,Eeight,B-boy,https://www.instagram.com/dino_yuntak/
Dinopaki,구하늘,Team Nuts,Hiphop,https://www.instagram.com/d_i_n_o__p_a_k_i/
INA,강인아,,Hiphop,https://www.instagram.com/p/Cq8PVCNJpYL/
정현정,정현정,,Waacking,https://www.instagram.com/hhyunzung/
L.sun,박선우,Nonstopcrew,Locking,https://www.instagram.com/l.sun_mighty/
Beast,전경배,Break ambition,B-boy,https://www.instagram.com/beast_the_lights
Wild Dog,안종희,mooae(무애),B-boy,https://www.instagram.com/bboy_wild_dog
Zophy,오정우,Onyx crew,Popping,https://www.instagram.com/z_ophy/
Cooni,쿠니,C_mille,Popping,https://www.instagram.com/coo___ni/
Goofy,박찬준,,B-boy,https://www.instagram.com/goofy_dogg/
CMI,크미,Oneway crew,B-boy,https://www.instagram.com/p/C_97ZtHT3pY/?img_index=1
Bekka,명노헌,JINJO,B-boy,https://www.instagram.com/jinjobekka
U-ONE,유완수,heartbeat crew,B-boy,https://www.instagram.com/u1_heartbeat/tagged/
Fennec,페넥,glayers,Popping,https://www.instagram.com/imfennec/
Mint-Roc,황민태,CAY CREW,B-boy,https://www.instagram.com/mint_roc_cay/
GV,GV,MBA crew,Hiphop,https://www.instagram.com/mbacrew_official/
keehyun,염기현,overaize,House,https://www.instagram.com/keehyun_/
조서영,조서영,,Locking,https://www.instagram.com/jse.o_/
Locktan,락탄,,Locking,https://www.instagram.com/locktan/
G SENSE,지센스,T.I.B CREW,Hiphop,https://www.instagram.com/gsense_kr/tagged/
WISE,전주완,hanya,Hiphop,https://www.instagram.com/wise_hanya/
정수진,정수진,,Hiphop,
Ashes,최예슬,Fusionmc,B-girl,https://www.instagram.com/ashes_fusionmc/tagged/
Yuna,허유나,,House,https://www.instagram.com/hur_yuna/
Groove m,박민우,beat surfers,House,https://www.instagram.com/groove.m_beatsurfers/
Hiry,김진원,,Locking,https://www.instagram.com/hiryway/
poppin c,poppin c,,,
DROP,고준영,Uptown Family,Hiphop,https://www.instagram.com/drop_ppppp/
태민,정태민,,Hiphop,https://www.instagram.com/taminxoals/
김수정,김수정,,Hiphop,https://www.instagram.com/suujjss/
solsow,slosow,,Hiphop,https://www.instagram.com/solsow08/
Rotein,정민찬,Hi Klass,Popping,https://www.instagram.com/ro_tein_
Nervy,Nervy,Slow Plow,House,https://www.instagram.com/mkleenervy/
